Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
SP1,24-01-2007,Betis,Barcelona,1,1,D,1,0,H,2006
SP1,27-01-2007,Ath Madrid,Santander,1,1,D,0,0,D,2006
SP1,27-01-2007,Villarreal,Real Madrid,1,0,H,0,0,D,2006
SP1,28-01-2007,Barcelona,Celta,3,1,H,1,0,H,2006
SP1,28-01-2007,Betis,Valencia,2,1,H,1,1,D,2006
SP1,28-01-2007,Getafe,Osasuna,2,0,H,2,0,H,2006
SP1,28-01-2007,Gimnastic,Espanol,4,0,H,4,0,H,2006
SP1,28-01-2007,Levante,Sevilla,2,4,A,0,1,A,2006
SP1,28-01-2007,Mallorca,Recreativo,2,1,H,2,0,H,2006
SP1,28-01-2007,Sociedad,Ath Bilbao,0,2,A,0,1,A,2006
SP1,28-01-2007,Zaragoza,La Coruna,1,1,D,0,1,A,2006
SP1,03-02-2007,Espanol,Zaragoza,1,2,A,0,0,D,2006
SP1,03-02-2007,La Coruna,Mallorca,1,0,H,1,0,H,2006
SP1,03-02-2007,Valencia,Ath Madrid,3,1,H,1,0,H,2006
SP1,04-02-2007,Ath Bilbao,Betis,1,2,A,0,1,A,2006
SP1,04-02-2007,Celta,Gimnastic,1,1,D,0,0,D,2006
SP1,04-02-2007,Osasuna,Barcelona,0,0,D,0,0,D,2006
SP1,04-02-2007,Real Madrid,Levante,0,1,A,0,1,A,2006
SP1,04-02-2007,Recreativo,Villarreal,2,1,H,1,0,H,2006
SP1,04-02-2007,Santander,Getafe,1,0,H,1,0,H,2006
SP1,04-02-2007,Sevilla,Sociedad,0,0,D,0,0,D,2006
SP1,10-02-2007,Betis,Sevilla,0,0,D,0,0,D,2006
SP1,10-02-2007,Sociedad,Real Madrid,1,2,A,1,1,D,2006
SP1,11-02-2007,Ath Madrid,Ath Bilbao,1,0,H,0,0,D,2006
SP1,11-02-2007,Barcelona,Santander,2,0,H,0,0,D,2006
SP1,11-02-2007,Celta,Espanol,0,2,A,0,1,A,2006
SP1,11-02-2007,Getafe,Valencia,3,0,H,0,0,D,2006
SP1,11-02-2007,Gimnastic,Osasuna,2,3,A,1,1,D,2006
SP1,11-02-2007,Levante,Recreativo,2,1,H,2,0,H,2006
SP1,11-02-2007,Mallorca,Zaragoza,2,1,H,0,0,D,2006
SP1,11-02-2007,Villarreal,La Coruna,0,2,A,0,1,A,2006
SP1,17-02-2007,Real Madrid,Betis,0,0,D,0,0,D,2006
SP1,17-02-2007,Zaragoza,Villarreal,1,0,H,1,0,H,2006
SP1,18-02-2007,Ath Bilbao,Getafe,2,0,H,1,0,H,2006
SP1,18-02-2007,Espanol,Mallorca,3,1,H,1,1,D,2006
SP1,18-02-2007,La Coruna,Levante,0,0,D,0,0,D,2006
SP1,18-02-2007,Osasuna,Celta,0,1,A,0,1,A,2006
SP1,18-02-2007,Recreativo,Sociedad,1,0,H,0,0,D,2006
SP1,18-02-2007,Santander,Gimnastic,4,1,H,0,0,D,2006
SP1,18-02-2007,Sevilla,Ath Madrid,3,1,H,2,0,H,2006
SP1,18-02-2007,Valencia,Barcelona,2,1,H,0,0,D,2006
SP1,24-02-2007,Ath Madrid,Real Madrid,1,1,D,1,0,H,2006
SP1,24-02-2007,Sociedad,La Coruna,0,1,A,0,1,A,2006
SP1,25-02-2007,Barcelona,Ath Bilbao,3,0,H,3,0,H,2006
SP1,25-02-2007,Betis,Recreativo,0,0,D,0,0,D,2006
SP1,25-02-2007,Celta,Santander,2,2,D,2,0,H,2006
SP1,25-02-2007,Getafe,Sevilla,0,0,D,0,0,D,2006
SP1,25-02-2007,Gimnastic,Valencia,1,1,D,0,0,D,2006
SP1,25-02-2007,Levante,Zaragoza,0,0,D,0,0,D,2006
SP1,25-02-2007,Osasuna,Espanol,0,2,A,0,1,A,2006
SP1,25-02-2007,Villarreal,Mallorca,2,1,H,1,1,D,2006
SP1,03-03-2007,Sevilla,Barcelona,2,1,H,1,1,D,2006
SP1,03-03-2007,Valencia,Celta,1,0,H,0,0,D,2006
SP1,04-03-2007,Ath Bilbao,Gimnastic,0,2,A,0,1,A,2006
SP1,04-03-2007,Espanol,Villarreal,1,1,D,1,0,H,2006
SP1,04-03-2007,La Coruna,Betis,0,1,A,0,0,D,2006
SP1,04-03-2007,Mallorca,Levante,3,1,H,0,0,D,2006
SP1,04-03-2007,Real Madrid,Getafe,1,1,D,1,1,D,2006
SP1,04-03-2007,Recreativo,Ath Madrid,1,0,H,1,0,H,2006
SP1,04-03-2007,Santander,Osasuna,1,0,H,0,0,D,2006
SP1,04-03-2007,Zaragoza,Sociedad,3,2,H,0,1,A,2006
SP1,10-03-2007,Barcelona,Real Madrid,3,3,D,2,2,D,2006
SP1,10-03-2007,Levante,Villarreal,0,2,A,0,1,A,2006
SP1,11-03-2007,Ath Madrid,La Coruna,2,0,H,1,0,H,2006
SP1,11-03-2007,Betis,Zaragoza,1,1,D,1,1,D,2006
SP1,11-03-2007,Celta,Ath Bilbao,1,1,D,1,0,H,2006
SP1,11-03-2007,Getafe,Recreativo,1,1,D,1,1,D,2006
SP1,11-03-2007,Gimnastic,Sevilla,1,0,H,0,0,D,2006
SP1,11-03-2007,Osasuna,Valencia,1,1,D,1,0,H,2006
SP1,11-03-2007,Santander,Espanol,1,1,D,1,1,D,2006
SP1,11-03-2007,Sociedad,Mallorca,3,1,H,2,1,H,2006
SP1,17-03-2007,Ath Bilbao,Osasuna,0,3,A,0,1,A,2006
SP1,17-03-2007,Mallorca,Betis,2,0,H,2,0,H,2006
SP1,17-03-2007,Recreativo,Barcelona,0,4,A,0,3,A,2006
SP1,17-03-2007,Valencia,Santander,0,2,A,0,1,A,2006
SP1,18-03-2007,Espanol,Levante,1,1,D,1,1,D,2006
SP1,18-03-2007,La Coruna,Getafe,1,0,H,0,0,D,2006
SP1,18-03-2007,Real Madrid,Gimnastic,2,0,H,0,0,D,2006
SP1,18-03-2007,Sevilla,Celta,2,0,H,0,0,D,2006
SP1,18-03-2007,Villarreal,Sociedad,1,1,D,0,1,A,2006
SP1,18-03-2007,Zaragoza,Ath Madrid,1,0,H,1,0,H,2006
SP1,31-03-2007,Barcelona,La Coruna,2,1,H,1,0,H,2006
SP1,31-03-2007,Betis,Villarreal,3,3,D,1,1,D,2006
SP1,31-03-2007,Sociedad,Levante,1,0,H,1,0,H,2006
SP1,31-03-2007,Valencia,Espanol,3,2,H,2,1,H,2006
SP1,01-04-2007,Ath Madrid,Mallorca,1,1,D,1,0,H,2006
SP1,01-04-2007,Celta,Real Madrid,1,2,A,1,1,D,2006
SP1,01-04-2007,Getafe,Zaragoza,2,2,D,1,2,A,2006
SP1,01-04-2007,Gimnastic,Recreativo,1,1,D,1,1,D,2006
SP1,01-04-2007,Osasuna,Sevilla,0,0,D,0,0,D,2006
SP1,01-04-2007,Santander,Ath Bilbao,5,4,H,0,1,A,2006
SP1,07-04-2007,Ath Bilbao,Valencia,1,0,H,1,0,H,2006
SP1,07-04-2007,Zaragoza,Barcelona,1,0,H,0,0,D,2006
SP1,08-04-2007,Espanol,Sociedad,1,0,H,0,0,D,2006
SP1,08-04-2007,La Coruna,Gimnastic,1,0,H,0,0,D,2006
SP1,08-04-2007,Levante,Betis,1,1,D,1,0,H,2006
SP1,08-04-2007,Mallorca,Getafe,2,0,H,0,0,D,2006
SP1,08-04-2007,Real Madrid,Osasuna,2,0,H,1,0,H,2006
SP1,08-04-2007,Recreativo,Celta,4,2,H,1,0,H,2006
SP1,08-04-2007,Sevilla,Santander,0,0,D,0,0,D,2006
SP1,08-04-2007,Villarreal,Ath Madrid,0,1,A,0,1,A,2006
SP1,14-04-2007,Betis,Sociedad,0,1,A,0,1,A,2006
SP1,14-04-2007,Santander,Real Madrid,2,1,H,0,1,A,2006
SP1,15-04-2007,Ath Bilbao,Espanol,2,1,H,0,1,A,2006
SP1,15-04-2007,Ath Madrid,Levante,1,0,H,0,0,D,2006
SP1,15-04-2007,Barcelona,Mallorca,1,0,H,0,0,D,2006
SP1,15-04-2007,Celta,La Coruna,1,0,H,0,0,D,2006
SP1,15-04-2007,Getafe,Villarreal,3,0,H,1,0,H,2006
SP1,15-04-2007,Gimnastic,Zaragoza,1,0,H,0,0,D,2006
SP1,15-04-2007,Osasuna,Recreativo,1,1,D,0,0,D,2006
SP1,15-04-2007,Valencia,Sevilla,2,0,H,1,0,H,2006
SP1,21-04-2007,Real Madrid,Valencia,2,1,H,1,0,H,2006
SP1,21-04-2007,Sociedad,Ath Madrid,2,0,H,1,0,H,2006
SP1,22-04-2007,Espanol,Betis,2,2,D,1,1,D,2006
SP1,22-04-2007,La Coruna,Osasuna,1,0,H,0,0,D,2006
SP1,22-04-2007,Levante,Getafe,1,1,D,1,0,H,2006
SP1,22-04-2007,Mallorca,Gimnastic,1,0,H,1,0,H,2006
SP1,22-04-2007,Recreativo,Santander,4,2,H,3,1,H,2006
SP1,22-04-2007,Sevilla,Ath Bilbao,4,1,H,0,0,D,2006
SP1,22-04-2007,Villarreal,Barcelona,2,0,H,0,0,D,2006
SP1,22-04-2007,Zaragoza,Celta,2,0,H,0,0,D,2006
SP1,28-04-2007,Ath Madrid,Betis,0,0,D,0,0,D,2006
SP1,28-04-2007,Valencia,Recreativo,2,0,H,0,0,D,2006
SP1,29-04-2007,Ath Bilbao,Real Madrid,1,4,A,0,2,A,2006
SP1,29-04-2007,Barcelona,Levante,1,0,H,1,0,H,2006
SP1,29-04-2007,Celta,Mallorca,0,3,A,0,2,A,2006
SP1,29-04-2007,Getafe,Sociedad,1,0,H,0,0,D,2006
SP1,29-04-2007,Gimnastic,Villarreal,0,3,A,0,1,A,2006
SP1,29-04-2007,Osasuna,Zaragoza,2,2,D,1,1,D,2006
SP1,29-04-2007,Santander,La Coruna,0,0,D,0,0,D,2006
SP1,29-04-2007,Sevilla,Espanol,3,1,H,0,0,D,2006
SP1,05-05-2007,La Coruna,Valencia,1,2,A,0,1,A,2006
SP1,05-05-2007,Sociedad,Barcelona,0,2,A,0,0,D,2006
SP1,06-05-2007,Betis,Getafe,0,2,A,0,2,A,2006
SP1,06-05-2007,Espanol,Ath Madrid,2,1,H,1,0,H,2006
SP1,06-05-2007,Levante,Gimnastic,2,0,H,2,0,H,2006
SP1,06-05-2007,Mallorca,Osasuna,3,1,H,1,0,H,2006
SP1,06-05-2007,Real Madrid,Sevilla,3,2,H,0,1,A,2006
SP1,06-05-2007,Recreativo,Ath Bilbao,0,0,D,0,0,D,2006
SP1,06-05-2007,Villarreal,Celta,1,0,H,0,0,D,2006
SP1,06-05-2007,Zaragoza,Santander,0,0,D,0,0,D,2006
SP1,12-05-2007,Real Madrid,Espanol,4,3,H,1,3,A,2006
SP1,12-05-2007,Sevilla,Recreativo,2,1,H,1,0,H,2006
SP1,13-05-2007,Ath Bilbao,La Coruna,1,1,D,0,0,D,2006
SP1,13-05-2007,Barcelona,Betis,1,1,D,1,0,H,2006
SP1,13-05-2007,Celta,Levante,1,2,A,0,1,A,2006
SP1,13-05-2007,Getafe,Ath Madrid,1,4,A,0,2,A,2006
SP1,13-05-2007,Gimnastic,Sociedad,1,3,A,1,2,A,2006
SP1,13-05-2007,Osasuna,Villarreal,1,4,A,1,1,D,2006
SP1,13-05-2007,Santander,Mallorca,0,2,A,0,0,D,2006
